"행정구역","2022년04월_계_총인구수","2022년04월_계_연령구간인구수","2022년04월_계_0~9세","2022년04월_계_10~19세","2022년04월_계_20~29세","2022년04월_계_30~39세","2022년04월_계_40~49세","2022년04월_계_50~59세","2022년04월_계_60~69세","2022년04월_계_70~79세","2022년04월_계_80~89세","2022년04월_계_90~99세","2022년04월_계_100세 이상","2022년04월_남_총인구수","2022년04월_남_연령구간인구수","2022년04월_남_0~9세","2022년04월_남_10~19세","2022년04월_남_20~29세","2022년04월_남_30~39세","2022년04월_남_40~49세","2022년04월_남_50~59세","2022년04월_남_60~69세","2022년04월_남_70~79세","2022년04월_남_80~89세","2022년04월_남_90~99세","2022년04월_남_100세 이상","2022년04월_여_총인구수","2022년04월_여_연령구간인구수","2022년04월_여_0~9세","2022년04월_여_10~19세","2022년04월_여_20~29세","2022년04월_여_30~39세","2022년04월_여_40~49세","2022년04월_여_50~59세","2022년04월_여_60~69세","2022년04월_여_70~79세","2022년04월_여_80~89세","2022년04월_여_90~99세","2022년04월_여_100세 이상"
"서울특별시","9,500,480","9,500,480","570,459","755,004","1,415,503","1,432,168","1,474,827","1,507,408","1,291,867","703,130","305,966","42,439","1,709","4,610,082","4,610,082","292,863","386,562","679,446","715,548","730,021","742,833","610,149","319,594","121,716","10,935","415","4,890,398","4,890,398","277,596","368,442","736,057","716,620","744,806","764,575","681,718","383,536","184,250","31,504","1,294"
"부산광역시","3,340,214","3,340,214","215,153","265,497","408,673","401,742","500,825","552,008","550,633","301,763","127,647","15,849","424","1,633,170","1,633,170","110,351","136,647","211,544","206,221","252,719","269,307","259,671","136,256","46,958","3,418","78","1,707,044","1,707,044","104,802","128,850","197,129","195,521","248,106","282,701","290,962","165,507","80,689","12,431","346"
"대구광역시","2,378,573","2,378,573","164,310","217,935","305,021","282,403","369,656","418,743","344,346","180,239","85,195","10,463","262","1,171,451","1,171,451","84,169","113,106","162,164","148,705","182,594","204,864","163,885","79,150","30,469","2,314","31","1,207,122","1,207,122","80,141","104,829","142,857","133,698","187,062","213,879","180,461","101,089","54,726","8,149","231"
"인천광역시","2,953,260","2,953,260","213,853","270,869","386,184","401,509","481,836","511,252","406,279","182,505","85,361","13,183","429","1,478,514","1,478,514","109,635","139,258","201,198","208,170","246,809","255,445","200,967","84,040","30,145","2,763","84","1,474,746","1,474,746","104,218","131,611","184,986","193,339","235,027","255,807","205,312","98,465","55,216","10,420","345"
"광주광역시","1,436,916","1,436,916","111,370","151,272","203,653","179,137","236,055","236,971","173,183","94,924","44,017","6,154","180","710,524","710,524","57,131","78,300","106,235","91,817","117,402","117,622","82,439","42,245","15,971","1,342","20","726,392","726,392","54,239","72,972","97,418","87,320","118,653","119,349","90,744","52,679","28,046","4,812","160"
"대전광역시","1,449,360","1,449,360","105,714","140,935","207,253","188,455","229,928","239,743","192,839","93,333","44,658","6,323","179","723,063","723,063","54,308","72,903","108,612","98,929","114,412","119,817","93,521","42,664","16,411","1,459","27","726,297","726,297","51,406","68,032","98,641","89,526","115,516","119,926","99,318","50,669","28,247","4,864","152"
"울산광역시","1,117,204","1,117,204","89,425","109,457","134,971","142,549","183,381","206,563","158,060","64,484","24,914","3,336","64","573,984","573,984","45,922","57,552","76,143","76,154","93,899","104,574","79,631","30,891","8,608","605","5","543,220","543,220","43,503","51,905","58,828","66,395","89,482","101,989","78,429","33,593","16,306","2,731","59"
"세종특별자치시","378,196","378,196","47,021","46,963","39,015","61,611","74,700","50,270","34,347","15,128","7,778","1,331","32","188,778","188,778","23,986","23,665","20,005","30,034","37,651","26,327","17,053","7,061","2,717","272","7","189,418","189,418","23,035","23,298","19,010","31,577","37,049","23,943","17,294","8,067","5,061","1,059","25"
"경기도","13,577,808","13,577,808","1,079,575","1,319,939","1,778,450","1,888,181","2,296,320","2,286,203","1,699,088","785,597","385,907","56,711","1,837","6,833,859","6,833,859","552,339","677,360","937,495","978,886","1,168,223","1,158,014","845,273","359,434","142,973","13,478","384","6,743,949","6,743,949","527,236","642,579","840,955","909,295","1,128,097","1,128,189","853,815","426,163","242,934","43,233","1,453"
"강원도","1,539,038","1,539,038","99,379","132,947","173,587","161,505","218,809","264,247","263,043","134,783","78,574","11,815","349","774,562","774,562","50,847","69,116","97,650","85,318","111,759","136,456","131,407","61,101","28,255","2,581","72","764,476","764,476","48,532","63,831","75,937","76,187","107,050","127,791","131,636","73,682","50,319","9,234","277"
"충청북도","1,597,284","1,597,284","114,305","146,096","192,565","188,858","237,457","270,224","244,664","121,942","71,063","9,815","295","811,063","811,063","58,361","75,821","107,271","101,511","122,858","139,180","123,074","56,017","24,749","2,170","51","786,221","786,221","55,944","70,275","85,294","87,347","114,599","131,044","121,590","65,925","46,314","7,645","244"
"충청남도","2,119,296","2,119,296","158,702","200,812","235,636","256,051","326,734","340,833","304,193","173,001","106,626","16,270","438","1,083,970","1,083,970","81,203","104,219","130,601","138,163","174,021","180,937","153,227","80,075","37,622","3,836","66","1,035,326","1,035,326","77,499","96,593","105,035","117,888","152,713","159,896","150,966","92,926","69,004","12,434","372"
"전라북도","1,780,824","1,780,824","116,289","168,535","203,799","179,335","258,657","299,658","270,532","169,022","99,490","15,086","421","886,274","886,274","59,636","87,253","110,615","92,774","132,659","155,771","134,077","76,124","33,994","3,316","55","894,550","894,550","56,653","81,282","93,184","86,561","125,998","143,887","136,455","92,898","65,496","11,770","366"
"전라남도","1,828,550","1,828,550","120,707","161,811","191,015","175,518","252,076","313,371","287,371","190,321","118,014","17,838","508","920,492","920,492","61,591","83,656","107,069","92,359","134,064","168,980","145,772","85,417","37,979","3,550","55","908,058","908,058","59,116","78,155","83,946","83,159","118,012","144,391","141,599","104,904","80,035","14,288","453"
"경상북도","2,617,552","2,617,552","173,524","220,753","270,023","274,694","375,535","453,992","437,198","245,698","144,501","21,069","565","1,320,018","1,320,018","89,378","116,029","153,302","147,453","195,289","235,656","218,661","111,564","48,251","4,374","61","1,297,534","1,297,534","84,146","104,724","116,721","127,241","180,246","218,336","218,537","134,134","96,250","16,695","504"
"경상남도","3,300,692","3,300,692","243,024","318,106","354,522","372,678","525,436","580,031","500,003","253,429","133,771","19,297","395","1,661,866","1,661,866","124,932","165,900","198,424","195,518","270,070","296,873","248,822","114,566","43,044","3,663","54","1,638,826","1,638,826","118,092","152,206","156,098","177,160","255,366","283,158","251,181","138,863","90,727","15,634","341"
"제주특별자치도","677,413","677,413","57,082","70,324","79,637","80,317","111,617","116,241","86,018","46,136","25,479","4,356","206","339,383","339,383","29,313","36,699","42,187","40,393","57,089","60,377","42,687","21,112","8,801","717","8","338,030","338,030","27,769","33,625","37,450","39,924","54,528","55,864","43,331","25,024","16,678","3,639","198"
